order_number,item_number,product_name,item_sales_units
22795466313,11027,Organic Strawberry Fruit Spread,1
22795466313,22002,Toilet Bowl Cleaner,1
22795466313,11025,Organic Extra Virgin Olive Oil,1
22795466313,11057,Organic Arrabbiata Pasta Sauce,1
22795466313,11043,Organic Oats & Honey Granola,1
22795466313,53015,Vegetable Peeler,1
22795466313,11013,Organic Brown Basmati Rice,1
22795466313,33002,Peppermint Mouthwash,1
22791968795,11002,Organic Agave Nectar,1
22791968795,11044,Blueberry Flax Granola,1
22791968795,11011,Organic Quinoa,1
22791968795,11045,Vanilla Cocoa Granola,1
22791968795,14013,Sea Salt Quinoa Chips,1
22782110742,11044,Blueberry Flax Granola,1
22782110742,14006,Organic Yellow Corn Tortilla Chips,1
22782110742,11048,Organic Tomato Sauce,2
22782110742,11012,Organic Long Grain Brown Rice,2
22782110742,13006,Organic English Breakfast Black Tea,1
22782110742,11009,2 Pack Organic Shells & Yellow Cheddar,2
22782110742,11007,Organic Yellow Mustard,1
22782110742,11018,Organic Black Beans,3
22782110742,11024,Organic Ketchup,1
22782110742,12013,2pk Organic Taco Seasoning Packet,1
22782110742,12016,Gluten Free Pancake and Waffle Mix,2
22774989712,11027,Organic Strawberry Fruit Spread,2
22774989712,11024,Organic Ketchup,1
22774989712,31008,Gel Hand Soap,1
22774989712,11003,Organic Creamy Peanut Butter,2
22774989712,14004,Gummy Fruit Wedges,1
22766654581,11020,Organic Garbanzo Beans,1
22766654581,14006,Organic Yellow Corn Tortilla Chips,1
22766654581,11025,Organic Extra Virgin Olive Oil,1
22766654581,22001,Dish Soap ,1
22766654581,11019,Organic Dark Red Kidney Beans,1
22766654581,11003,Organic Creamy Peanut Butter,1
22766654581,11015,Organic Applesauce Pouches,2
22766654581,11010,2 Pack Organic Shells & White Cheddar,1
22766654581,33002,Peppermint Mouthwash,1
22766654581,31010,2 Pack Lip Balm,1
22766654581,12015,Gluten Free Blueberry Muffin Mix,1
22766340930,11027,Organic Strawberry Fruit Spread,1
22766340930,11004,Organic Crunchy Peanut Butter,1
22766340930,11018,Organic Black Beans,6
22766340930,11055,Organic Black Bean & Corn Salsa,1
22766340930,11045,Vanilla Cocoa Granola,1
22766340930,11058,Organic Roasted Garlic Pasta Sauce,1
22766340930,11025,Organic Extra Virgin Olive Oil,1
22766340930,11026,Organic Balsamic Vinegar of Modena,1
22766340930,13001,Organic Fair Trade Dark Roast Coffee Pods,3
22766340930,11003,Organic Creamy Peanut Butter,1
22766340930,14022,Organic Whole Wheat Animal Cookies,1
22766340930,11028,Organic Blackberry Fruit Spread,1
22766340930,32002,Organic Cotton Rounds,2
22766340930,11009,2 Pack Organic Shells & Yellow Cheddar,1
22766340930,32001,Organic Cotton Balls,2
22766340930,53003,Pizza Cutter,1
22766340930,11051,Organic Balsamic Vinaigrette Dressing,1
22766340930,53022,Corkscrew,1
22766340930,53016,Bottle Opener,1
22765260091,14006,Organic Yellow Corn Tortilla Chips,1
22765260091,31008,Gel Hand Soap,1
22765260091,11018,Organic Black Beans,1
